1410181840.22	-2764436	-3408977
1410181840.27	-2764436	-3408977
1410181840.32	-2764436	-3408977
1410181840.37	-2764436	-3408977
1410181840.42	-2764436	-3408977
1410181840.47	-2764436	-3408977
1410181840.52	-2764436	-3408977
1410181840.57	-2764436	-3408977
1410181840.62	-2764436	-3408977
1410181840.67	-2764436	-3408977
1410181840.72	-2764436	-3408977
1410181840.77	-2764436	-3408977
1410181840.82	-2764436	-3408977
1410181840.87	-2764436	-3408977
1410181840.92	-2764436	-3408977
1410181840.97	-2764436	-3408977
1410181841.02	-2764436	-3408977
1410181841.07	-2764436	-3408977
1410181841.12	-2764436	-3408977
1410181841.17	-2764436	-3408977
1410181841.22	-2764436	-3408977
1410181841.27	-2764436	-3408977
1410181841.32	-2764436	-3408977
1410181841.37	-2764436	-3408977
1410181841.42	-2764436	-3408977
1410181841.47	-2764436	-3408977
1410181841.52	-2764436	-3408977
1410181841.57	-2764436	-3408977
1410181841.62	-2764436	-3408977
1410181841.67	-2764436	-3408977
1410181841.72	-2764436	-3408977
1410181841.77	-2764436	-3408977
1410181841.82	-2764436	-3408977
1410181841.87	-2764436	-3408977
1410181841.92	-2764436	-3408977
1410181841.97	-2764436	-3408977
1410181842.02	-2764436	-3408977
1410181842.07	-2764436	-3408977
1410181842.12	-2764436	-3408977
1410181842.17	-2764436	-3408977
1410181842.22	-2764436	-3408977
1410181842.27	-2764436	-3408977
1410181842.32	-2764436	-3408977
1410181842.37	-2764436	-3408977
1410181842.42	-2764436	-3408977
1410181842.47	-2764436	-3408977
1410181842.52	-2764436	-3408977
1410181842.57	-2764436	-3408977
1410181842.62	-2764436	-3408977
1410181842.67	-2764436	-3408977
1410181842.72	-2764436	-3408977
1410181842.77	-2764436	-3408977
1410181842.82	-2764436	-3408977
1410181842.87	-2764436	-3408977
1410181842.92	-2764436	-3408977
1410181842.97	-2764436	-3408977
1410181843.02	-2764436	-3408977
1410181843.07	-2764436	-3408977
1410181843.12	-2764436	-3408977
1410181843.17	-2764436	-3408977
1410181843.22	-2764436	-3408977
1410181843.27	-2764436	-3408977
1410181843.32	-2764436	-3408977
1410181843.37	-2764436	-3408977
1410181843.42	-2764436	-3408977
1410181843.47	-2764436	-3408977
1410181843.52	-2764436	-3408977
1410181843.57	-2764436	-3408977
1410181843.62	-2764436	-3408977
1410181843.67	-2764436	-3408977
1410181843.72	-2764436	-3408977
1410181843.77	-2764436	-3408977
1410181843.82	-2764436	-3408977
1410181843.87	-2764436	-3408977
1410181843.92	-2764436	-3408977
1410181843.97	-2764436	-3408977
1410181844.02	-2764436	-3408977
1410181844.07	-2764436	-3408977
1410181844.12	-2764436	-3408977
1410181844.17	-2764436	-3408977
1410181844.22	-2764436	-3408977
1410181844.27	-2764436	-3408977
1410181844.32	-2764436	-3408977
1410181844.37	-2764436	-3408977
1410181844.42	-2764436	-3408977
1410181844.47	-2764436	-3408977
1410181844.52	-2764436	-3408977
1410181844.57	-2764436	-3408977
1410181844.62	-2764452	-3408989
1410181844.67	-2764519	-3409022
1410181844.72	-2764588	-3409067
1410181844.77	-2764659	-3409131
1410181844.82	-2764748	-3409214
1410181844.87	-2764840	-3409295
1410181844.92	-2764939	-3409385
1410181844.97	-2765040	-3409482
1410181845.02	-2765163	-3409607
1410181845.07	-2765271	-3409723
1410181845.12	-2765378	-3409840
1410181845.17	-2765486	-3409968
1410181845.22	-2765616	-3410122
1410181845.27	-2765727	-3410254
1410181845.32	-2765842	-3410392
1410181845.37	-2765958	-3410530
1410181845.42	-2766093	-3410690
1410181845.47	-2766214	-3410830
1410181845.52	-2766336	-3410971
1410181845.57	-2766460	-3411111
1410181845.62	-2766605	-3411274
1410181845.67	-2766730	-3411418
1410181845.72	-2766855	-3411562
1410181845.77	-2766977	-3411703
1410181845.82	-2767123	-3411875
1410181845.87	-2767248	-3412021
1410181845.92	-2767372	-3412162
1410181845.97	-2767498	-3412233
1410181846.02	-2767640	-3412234
1410181846.07	-2767745	-3412210
1410181846.12	-2767838	-3412163
1410181846.17	-2767939	-3412166
1410181846.22	-2768056	-3412209
1410181846.27	-2768166	-3412257
1410181846.32	-2768284	-3412322
1410181846.37	-2768402	-3412403
1410181846.42	-2768539	-3412507
1410181846.47	-2768664	-3412603
1410181846.52	-2768792	-3412705
1410181846.57	-2768921	-3412815
1410181846.62	-2769076	-3412945
1410181846.67	-2769213	-3413058
1410181846.72	-2769352	-3413175
1410181846.77	-2769493	-3413297
1410181846.82	-2769660	-3413438
1410181846.87	-2769805	-3413561
1410181846.92	-2769951	-3413684
1410181846.97	-2770095	-3413806
